PPS,FER,APPF,SFP,PS,H,dIP,sIP,lable1,lable2
55.0,55.5,0.990990990990991,1.0,-0.0,4.700480365792416,4.700480365792416,-0.0,0,0
1126.5,1111.5,0.9652956298200515,0.9995501574448943,0.013664333713710959,7.60013054584259,7.60013054584259,-0.0,0,0
1041.0,1020.5,0.4758857142857143,0.9995102840352595,0.01949741847795713,7.471113990055242,7.471113990055242,-0.0,0,0
